"0903.1358","Slava V. Rotkin","Slava V. Rotkin, Vasili Perebeinos, Alexey G. Petrov, and Phaedon
  Avouris","An essential mechanism of heat dissipation in carbon nanotube
  electronics",,"Nano Letters vol. 9 (5), 1850-1855 (March 31, 2009).","10.1021/nl803835z",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Excess heat generated in integrated circuits is one of the major problems of
modern electronics. Surface phonon-polariton scattering is shown here to be the
dominant mechanism for hot charge carrier energy dissipation in a nanotube
device fabricated on a polar substrate, such as $SiO_2$. Using microscopic
quantum models the Joule losses were calculated for the various energy
dissipation channels as a function of the electric field, doping, and
temperature. The polariton mechanism must be taken into account to obtain an
accurate estimate of the effective thermal coupling of the non-suspended
nanotube to the substrate, which was found to be 0.1-0.2 W/m.K even in the
absence of the bare phononic thermal coupling.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:28:14 GMT""}]","2010-01-12"
"0903.1359","Roy Meshulam","Nathan Linial, Roy Meshulam, Mishael Rosenthal","Sum complexes - a new family of hypertrees","18 pages, 3 figures",,,,"math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A k-dimensional hypertree X is a k-dimensional complex on n vertices with a
full (k-1)-dimensional skeleton and \binom{n-1}{k} facets such that H_k(X;Q)=0.
Here we introduce the following family of simplicial complexes. Let n,k be
integers with k+1 and n relatively prime, and let A be a (k+1)-element subset
of the cyclic group Z_n. The sum complex X_A is the pure k-dimensional complex
on the vertex set Z_n whose facets are subsets \sigma of Z_n such that
|\sigma|=k+1 and \sum_{x \in \sigma}x \in A. It is shown that if n is prime
then the complex X_A is a k-hypertree for every choice of A. On the other hand,
for n prime X_A is k-collapsible iff A is an arithmetic progression in Z_n.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:28:30 GMT""}]","2009-03-10"
"0903.1360","Malek Zareyan","Babak Abdollahipour, Malek Zareyan, Nazila Asaadi","Shot noise of a ferromagnetic nanowire with a domain wall","6 pages, 3 figures","Phys. Rev. B 79, 104403 (2009)","10.1103/PhysRevB.79.104403",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study shot noise of the spin-polarized current in a diffusive
ferromagnetic nanowire which contains a ballistic domain wall. We find that the
existence of a short domain wall influences strongly the shot noise for
sufficiently high spin-polarization of the wire. Compared to the situation of
the absence of the domain wall, the shot noise can be reduced or enhanced
depending on the length of the domain wall and its relative conductance.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:41:59 GMT""}]","2009-11-13"
"0903.1361","Achim Klenke","Achim Klenke and Lutz Mattner","Stochastic ordering of classical discrete distributions","typos corrected, two references added",,,,"math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For several pairs $(P,Q)$ of classical distributions on $\N_0$, we show that
their stochastic ordering $P\leq_{st} Q$ can be characterized by their extreme
tail ordering equivalent to $ P(\{k_\ast \})/Q(\{k_\ast\}) \le 1 \le \lim_{k\to
k^\ast} P(\{k\})/Q(\{k\})$, with $k_\ast$ and $k^\ast$ denoting the minimum and
the supremum of the support of $P+Q$, and with the limit to be read as
$P(\{k^\ast\})/Q(\{k^\ast\})$ for $k^\ast$ finite. This includes in particular
all pairs where $P$ and $Q$ are both binomial ($b_{n_1,p_1} \leq_{st}
b_{n_2,p_2}$ if and only if $n_1\le n_2$ and $(1-p_1)^{n_1}\ge(1-p_2)^{n_2}$,
or $p_1=0$), both negative binomial ($b^-_{r_1,p_1}\leq_{st} b^-_{r_2,p_2}$ if
and only if $p_1\geq p_2$ and $p_1^{r_1}\geq p_2^{r_2}$), or both
hypergeometric with the same sample size parameter. The binomial case is
contained in a known result about Bernoulli convolutions, the other two cases
appear to be new.
  The emphasis of this paper is on providing a variety of different methods of
proofs: (i) half monotone likelihood ratios, (ii) explicit coupling, (iii)
Markov chain comparison, (iv) analytic calculation, and (v) comparison of Levy
measures. We give four proofs in the binomial case (methods (i)-(iv)) and three
in the negative binomial case (methods (i), (iv) and (v)). The statement for
hypergeometric distributions is proved via method (i).
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 18:51:50 GMT""},{""version"":""v2"",""created"":""Sun, 7 Mar 2010 00:57:01 GMT""}]","2010-03-09"
"0903.1362","Ersen Mete","E. Mete, D. Uner, O. Gulseren, S. Ellialtioglu","Pt-incorporated anatase TiO2(001) surface for solar cell applications :
  First-principles density functional theory calculations","15 pages, 8 figures, 4 tables. to appear on Phys. Rev B","Phys. Rev. B 79, 125418 (2009).","10.1103/PhysRevB.79.125418",,"cond-mat.str-el cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  First-principles density functional theory calculations were carried out to
determine the low energy geometries of anatase TiO$_2$(001) with Pt implants in
the sublayers as substitutional and interstitial impurities as well as on the
surface in the form of adsorbates. We investigated the effect of such a
systematic Pt incorporation in the electronic structure of this surface for
isolated and interacting impurities with an emphasis on the reduction in the
band gap to visible region. Comprehensive calculations, for 1x1 surface, showed
that Pt ions at interstitial cavities result in local segregation, forming
metallic wires inside, while substitution for bulk Ti and adsorption drives
four strongly dispersed impurity states from valence-bands up in the gap with a
narrowing of ~1.5 eV. Hence, such a contiguous Pt incorporation drives anatase
into infrared regime. Pt substitution for the surface Ti, on the other hand,
metallizes the surface. Systematic trends for 2x2 surface revealed that Pt can
be encapsulated inside to form stable structures as a result of strong Pt-O
interactions as well as the adsorptional and substitutional cases. Dilute
impurities considered for 2x2 surface models exhibit flat-like defect states
driven from the valence bands narrowing the energy gap suitable to obtain
visible light responsive titania.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 19:07:53 GMT""}]","2009-03-19"
"0903.1363","Santosh Shelly Sharma","S. Shelly Sharma and N. K. Sharma","Partial K-way Negativities of Pure Four qubit Entangled States","15 pages, 5 figures, Additions to section II, Typos corrected","Phys. Rev. A 79, 062323 (2009)","10.1103/PhysRevA.79.062323",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It has been shown by Versraete et. al [F. Versraete, J. Dehaene, B. De Moor,
and H. Verschelde, Phys. Rev. A65, 052112 (2002)] that by stochastic local
operations and classical communication (SLOCC), a pure state of four qubits can
be transformed to a state belonging to one of a set of nine families of states.
By using selective partial transposition, we construct partial K-way
negativities to measure the genuine 4-partite, tripartite, and bi-partite
entanglement of single copy states belonging to the nine families of four qubit
states. Partial K-way negativities are polynomial functions of local invariants
characterizing each family of states as such entanglement monotones.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 19:23:25 GMT""},{""version"":""v2"",""created"":""Wed, 17 Jun 2009 23:52:39 GMT""}]","2010-08-06"
"0903.1364","Staszek Zola","K.D. Gazeas, P.G. Niarchos, S. Zola, J.M. Kreiner, S.M. Rucinski","Physical parameters of close binary systems: VI","16 pages, 10 figures","Acta Astronomica, v.56, pp.127-143, (2006)",,,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  New high-quality CCD photometric light curves for the W UMa-type systems V410
Aur, CK Boo, FP Boo, V921 Her, ET Leo, XZ Leo, V839 Oph, V2357 Oph, AQ Psc and
VY Sex are presented. The new multicolor light curves, combined with the
spectroscopic data recently obtained at David Dunlap Observatory, are analyzed
with the Wilson-Devinney code to yield the physical parameters (masses, radii
and luminosities) of the components. Our models for all ten systems resulted in
a contact configuration. Four binaries (V921 Her, XZ Leo, V2357 Oph and VY Sex)
have low, while two (V410 Aur and CK Boo) have high fill-out factors. FP Boo,
ET Leo, V839 Oph and AQ Psc have medium values of the fill-out factor. Three of
the systems (FP Boo, V921 Her and XZ Leo) have very bright primaries as a
result of their high temperatures and large radii.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 19:38:53 GMT""}]","2009-03-10"
"0903.1365","Staszek Zola","S. Zola, J.M. Kreiner, B. Zakrzewski, D.P. Kjurkchieva, D.V. Marchev,
  A. Baran, S.M. Rucinski, W. Ogloza, M. Siwak, D. Koziel, M. Drozdz and B.
  Pokrzywka","Physical parameters of components in close binary systems: V","13 pages, 10 figures","Acta Astronomica, v.55, pp.389-405, (2005)",,,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The paper presents combined spectroscopic and photometric orbital solutions
for ten close binary systems: CN And, V776 Cas, FU Dra, UV Lyn, BB Peg, V592
Per, OU Ser, EQ Tau, HN UMa and HT Vir. The photometric data consist of new
multicolor light curves, while the spectroscopy has been recently obtained
within the radial velocity program at the David Dunlap Observatory (DDO).
Absolute parameters of the components for these binary systems are derived. Our
results confirm that CN And is not a contact system. Its configuration is
semi-detached with the secondary component filling its Roche lobe. The
configuration of nine other systems is contact. Three systems (V776 Cas, V592
Per and OU Ser) have high (44-77%) and six (FU Dra, UV Lyn, BB Peg, EQ Tau, HN
UMa and HT Vir) low or intermediate (8-32%) fill-out factors. The absolute
physical parameters are derived.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 20:08:38 GMT""}]","2009-03-10"
"0903.1366","Paul Ballonoff","Paul Ballonoff","Some Properties of Transforms in Culture Theory","Read at International Quantum Structures Association meetings, 2008",,"10.1007/s10773-010-0438-7",,"math.GM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is shown that, in certain circumstances, systems of cultural rules may be
represented by doubly stochastic matrices denoted called possibility
transforms, and by certain real valued possibility densities with inner
product. Using such objects we may characterize a certain problem of
ethnographic and ethological description as a problem of prediction, in which
observations are predicted by properties of fixed points of transforms of pure
systems, or by properties of convex combinations of such pure systems. That is,
ethnographic description is an application of the Birkhoff theorem regarding
doubly stochastic matrices on a space whose vertices are permutations.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 20:14:59 GMT""}]","2015-05-13"
"0903.1367","Karl Schlechta","Dov Gabbay, Karl Schlechta (LIF)","Size and Logic",,,,,"math.LO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show how to develop a multitude of rules of nonmonotonic logic from very
simple and natural notions of size, using them as building blocks.
","[{""version"":""v1"",""created"":""Sat, 7 Mar 2009 20:20:03 GMT""}]","2009-03-10"
